K,Rem,cdrag
0.3,2926.654007134639,2.563234916841492
0.3,2273.921652400952,2.793464625616304
0.3,1934.203775931196,2.9799385031155325
0.3,1689.1335522366442,3.1282596292111924
0.3,1535.8901595073405,2.838555982434244
0.3,1395.9029086156384,3.2100834036593726
0.3,1329.175249071999,2.8354734047300205
0.3,1231.6241554987507,3.2215323959750872
0.3,1216.3439444446024,2.547182625752972
0.3,2795.1837300130583,2.376955947942415
0.3,2795.1837300130583,2.6658635019313475
0.3,2209.575220245686,2.7508889872914946
0.3,1880.038410086596,2.923447363721693
0.3,1649.943748918785,2.8010622232123303
0.3,1496.0778779523005,3.156239751463201
0.3,1388.2632699316102,2.9454352574273424
0.3,1280.4639775801509,2.8543432264700046
0.3,1238.8947491754695,2.980413768735029
0.3,1224.525636992024,2.507173704032156
0.3,8567.520947853933,2.000372973619929
0.3,8567.520947853933,2.2671944371386807
0.3,6824.834908702364,2.420077096341033
0.3,5806.487354441296,2.549479520017553
0.3,5158.168392005201,2.460336266815483
0.3,4754.447898203854,2.830822942607741
0.3,4447.922353991863,2.6479225198475045
0.3,4102.626474373954,2.486478093134288
0.3,3903.5724280422346,2.63770852612018
0.3,3911.697828980143,2.209185318421135
0.324,2669.269697285865,2.402162547896864
0.324,2669.269697285865,2.860585043296812
0.324,2014.378659789718,2.7616052616316136
0.324,2630.9683482019923,2.4156892881593
0.324,2630.9683482019923,2.9030349987164903
0.324,1955.9478705303063,2.832110093688848
0.324,2843.026835705093,2.4796849742287583
0.324,2843.026835705093,2.7446524573757105
0.324,2329.5070107058004,2.5647911140060566
0.324,2713.5539404708948,2.5203932643790856
0.324,2713.5539404708948,2.7853113671637377
0.324,2225.302189032984,2.63013591385584
0.324,8174.960747340116,2.276070341621946
0.324,8174.960747340116,2.386929242334465
0.324,6610.946181119483,2.116045715067744
0.324,2642.8374786976465,2.558753974035267
0.324,2642.8374786976465,2.619323163316648
0.324,2060.810513803714,2.9415568164239927
0.324,1714.1155958829622,3.189202429509337
0.324,1479.703125911611,3.2391265120287747
0.324,1310.8468244726678,3.221671570887712
0.324,1220.0249757253775,2.712677955556736
0.324,1114.913800986037,3.121080803111721
0.324,1112.2123325510383,3.215279141696177
0.324,1064.136345850378,2.119178274510814
0.324,2605.328326366516,2.571359233127684
0.324,2605.328326366516,2.663898690479816
0.324,2002.460652329583,3.006437447571688
0.324,1637.4750409463893,3.3042024901682088
0.324,1387.285623285148,3.386377740528208
0.324,1203.284407514296,3.4124906398600228
0.324,1096.0729298978458,2.91909919950207
0.324,978.585421826063,3.372126995322444
0.324,962.109004330838,3.4632407540646204
0.324,913.0325930077464,2.287866029538498
0.324,2966.18653631247,2.3604839580057964
0.324,2966.18653631247,2.9211337434669256
0.324,2237.175485073991,2.7466931330424225
0.324,1889.901854905136,3.091786983602736
0.324,1710.933226087184,2.901461030195053
0.324,1523.9124221289287,3.0260830186491203
0.324,1443.4839853162632,3.0279346449982265
0.324,1349.960141890661,2.9313457718899696
0.324,1282.2314650250896,2.9066844871272144
0.324,1201.3391178003196,2.5309555528903047
0.324,2831.233241939207,2.38850725489213
0.324,2831.233241939207,2.9685771742076743
0.324,2137.277047288529,2.797663060498459
0.324,1807.038706711176,3.147187543637033
0.324,1636.4940222835044,2.9657093313928287
0.324,1458.1100272851922,3.090608684849136
0.324,1380.9951006481606,3.0885460839047423
